mention_id,mention,count,most_popular_doi,most_popular_doi_count,most_popular_pmid,most_popular_pmid_count,github_repo
SM5,glmmTMB,20,10.32614/RJ-2017-066,16,27383984.0,1,https://github.com/glmmTMB/glmmTMB
SM164,Slic3r,3,,0,,0,https://github.com/slic3r/Slic3r
SM139,3D Slicer,41,10.1016/j.mri.2012.05.001,20,22770690.0,20,https://github.com/prusa3d/PrusaSlicer
SM133,Slicer,22,10.1016/j.mri.2012.05.001,10,22770690.0,11,https://github.com/Slicer/Slicer
SM43,Fiji,454,10.1038/nmeth.2019,311,22743772.0,329,https://github.com/chimple/Fiji
SM336,ImageJ/FIJI,8,10.1038/nmeth.2019,4,22743772.0,4,https://github.com/lmb-freiburg/Unet-Segmentation
SM355,3DSlicer,13,10.1016/j.mri.2012.05.001,5,22770690.0,6,https://github.com/giorgio-denunzio/3DSlicer
SM48,Mimics,2,10.1067/j.cpradiol.2015.07.009,1,26298798.0,1,https://github.com/roughike/BottomBar
SM105,VOSviewer,46,10.1007/s11192-009-0146-3,32,20585380.0,35,https://github.com/emmolb/VOSviewer
SM3562,EPP,2,,0,12045507.0,1,https://github.com/JanKallman/EPPlus
SM1360,NetMHC,38,10.1093/nar/gkn202,8,18463140.0,11,https://github.com/LadnerLab/netMHCpan-4.0-parse
SM1043,MUSCLE,1933,10.1093/nar/gkh340,1207,15034147.0,1347,https://github.com/vergecurrency/verge
SM3,R,5142,10.1093/bioinformatics/btp616,117,19910308.0,128,https://github.com/ncornwell/R
SM3,R,5142,10.1093/bioinformatics/btp616,117,19910308.0,128,https://github.com/dmpe/R
SM1175,SMART,321,10.1073/pnas.95.11.5857,42,9600884.0,48,https://github.com/SmartThingsCommunity/SmartThingsPublic
SM3534,Qualtrics,44,10.2337/dc17-1962,1,29475843.0,1,https://github.com/ropensci/qualtRics
SM3812,START,17,10.1056/NEJMoa1506816,3,11751234.0,3,https://github.com/phonegap/phonegap-start
SM3540,Mplus,29,10.1080/10705511.2014.935844,2,9811086.0,1,https://github.com/bkeller2/Mplus
SM3572,Covidence,65,10.5596/c14-016,2,25099212.0,3,https://github.com/Aaru-06/covidence
SM536,ClustalW,1584,10.1093/nar/22.22.4673,615,7984417.0,781,https://github.com/coldfunction/CUDA-clustalW
SM501,BLAST,2940,10.1093/nar/25.17.3389,702,2231712.0,1300,https://github.com/rootphantomer/Blasting_dictionary
SM1447,NAMD,149,10.1002/jcc.20289,83,16222654.0,101,https://github.com/QijingZheng/Hefei-NAMD
SM4247,OpenBUGS,21,10.1002/sim.3680,7,19630097.0,9,https://github.com/Andrew9Lawson/Bayesian-DM-code-examples
SM1249,ClustalX,485,10.1093/nar/25.24.4876,199,9396791.0,206,https://github.com/OpenMandrivaAssociation/clustalx
SM2946,rstan,6,,0,,0,https://github.com/stan-dev/rstan
SM4428,DHIS2,7,10.1136/bmjgh-2019-001849,2,24886567.0,2,https://github.com/dhis2/dhis2-core
SM4496,R package survival,9,10.1093/bioinformatics/bty920,1,30395168.0,1,https://github.com/therneau/survival
SM4,ggplot2,335,10.1002/wics.147,21,25675341.0,2,https://github.com/tidyverse/ggplot2
SM4497,igraph,26,10.1038/ismej.2016.151,1,27858930.0,1,https://github.com/igraph/igraph
SM1404,TreeView,277,10.1073/pnas.95.25.14863,53,8902363.0,91,https://github.com/shineM/TreeView
