"pmid","doi","publication_year","institution_ror","au_display_name","au_orcid","author_position","au_affiliation_raw","gh_repo","software_name"
"","https://doi.org/10.21105/joss.00493",2018,NA,"Pamphile T. Roy","https://orcid.org/0000-0001-9816-1416","first","","https://gitlab.com/cerfacs/batman","BATMAN"
"","https://doi.org/10.21105/joss.00493",2018,NA,"Sophie Ricci","https://orcid.org/0000-0002-4232-5626","middle","","https://gitlab.com/cerfacs/batman","BATMAN"
"","https://doi.org/10.21105/joss.00493",2018,NA,"Romain Dupuis","https://orcid.org/0000-0002-7976-1034","middle","","https://gitlab.com/cerfacs/batman","BATMAN"
"","https://doi.org/10.21105/joss.00493",2018,NA,"Robin Campet","https://orcid.org/0000-0002-4434-0854","middle","","https://gitlab.com/cerfacs/batman","BATMAN"
"","https://doi.org/10.21105/joss.00493",2018,NA,"Jean-Christophe Jouhaud",NA,"middle","","https://gitlab.com/cerfacs/batman","BATMAN"
"","https://doi.org/10.21105/joss.00493",2018,NA,"Cyril Fournier","https://orcid.org/0000-0002-3635-9504","last","","https://gitlab.com/cerfacs/batman","BATMAN"
"","https://doi.org/10.21105/joss.00655",2018,NA,"Lincoln Mullen","https://orcid.org/0000-0001-5103-6917","first","","https://github.com/ropensci/tokenizers","tokenizers"
"","https://doi.org/10.21105/joss.00655",2018,NA,"Kenneth Benoit",NA,"middle","","https://github.com/ropensci/tokenizers","tokenizers"
"","https://doi.org/10.21105/joss.00655",2018,NA,"Os Keyes",NA,"middle","","https://github.com/ropensci/tokenizers","tokenizers"
"","https://doi.org/10.21105/joss.00655",2018,NA,"Dmitry Selivanov",NA,"middle","","https://github.com/ropensci/tokenizers","tokenizers"
"","https://doi.org/10.21105/joss.00655",2018,NA,"Jeffrey Arnold","https://orcid.org/0000-0001-9953-3904","last","","https://github.com/ropensci/tokenizers","tokenizers"
"","https://doi.org/10.21105/joss.00231",2017,"https://ror.org/0072zz521","Abhinav Tushar",NA,"first","University of Massachusetts, Amherst","https://github.com/reichlab/flusight","flusight"
"28835933","https://doi.org/10.21105/joss.00231",2017,"https://ror.org/0072zz521","Abhinav Tushar",NA,"first","University of Massachusetts, Amherst","https://github.com/reichlab/flusight","flusight"
"","https://doi.org/10.21105/joss.00231",2017,"https://ror.org/0072zz521","Nicholas G. Reich","https://orcid.org/0000-0003-3503-9899","last","University of Massachusetts, Amherst","https://github.com/reichlab/flusight","flusight"
"28835933","https://doi.org/10.21105/joss.00231",2017,"https://ror.org/0072zz521","Nicholas G. Reich","https://orcid.org/0000-0003-3503-9899","last","University of Massachusetts, Amherst","https://github.com/reichlab/flusight","flusight"
"","https://doi.org/10.21105/joss.00458",2017,NA,"George Datseris","https://orcid.org/0000-0002-6427-2385","first","","https://github.com/JuliaDynamics/DynamicalBilliards.jl","DynamicalBilliards.jl"
"","https://doi.org/10.21105/joss.00236",2017,NA,"Christopher Mutel","https://orcid.org/0000-0002-7898-9862","first","","https://bitbucket.org/cmutel/brightway2","Brightway"
"","https://doi.org/10.21105/joss.00494",2018,NA,"David J. Mulryne",NA,"first","","https://github.com/jronayne/PyTransport","PyTransport"
"","https://doi.org/10.21105/joss.00494",2018,NA,"J. W. Ronayne",NA,"last","","https://github.com/jronayne/PyTransport","PyTransport"
"","https://doi.org/10.21105/joss.00209",2017,NA,"Chapman Siu",NA,"first","","https://github.com/chappers/Ramble","Ramble"
"","https://doi.org/10.21105/joss.00699",2018,NA,"Jacob Anhøj","https://orcid.org/0000-0002-7701-1774","first","","https://github.com/anhoej/qicharts2","qicharts2"
"","https://doi.org/10.21105/joss.00456",2017,NA,"Sachin Chitta","https://orcid.org/0009-0006-3061-4291","first","","https://github.com/ros-controls","ros_control"
"","https://doi.org/10.21105/joss.00456",2017,NA,"Eitan Marder-Eppstein",NA,"middle","","https://github.com/ros-controls","ros_control"
"","https://doi.org/10.21105/joss.00456",2017,NA,"Wim Meeussen",NA,"middle","","https://github.com/ros-controls","ros_control"
"","https://doi.org/10.21105/joss.00456",2017,NA,"Vijay Pradeep",NA,"middle","","https://github.com/ros-controls","ros_control"
"","https://doi.org/10.21105/joss.00456",2017,NA,"Adolfo Rodríguez Tsouroukdissian",NA,"middle","","https://github.com/ros-controls","ros_control"
"","https://doi.org/10.21105/joss.00456",2017,NA,"J. Aislinn Bohren",NA,"middle","","https://github.com/ros-controls","ros_control"
"","https://doi.org/10.21105/joss.00456",2017,NA,"David Coleman",NA,"middle","","https://github.com/ros-controls","ros_control"
"","https://doi.org/10.21105/joss.00456",2017,NA,"Bence Magyar",NA,"middle","","https://github.com/ros-controls","ros_control"
"","https://doi.org/10.21105/joss.00456",2017,NA,"Gennaro Raiola",NA,"middle","","https://github.com/ros-controls","ros_control"
"","https://doi.org/10.21105/joss.00456",2017,NA,"Mathias Lüdtke",NA,"middle","","https://github.com/ros-controls","ros_control"
"","https://doi.org/10.21105/joss.00456",2017,NA,"Enrique Fernández Perdomo",NA,"last","","https://github.com/ros-controls","ros_control"
"","https://doi.org/10.21105/joss.00032",2016,NA,"Zoran Čučković",NA,"first","","https://github.com/zoran-cuckovic/QGIS-visibility-analysis","Advanced viewshed analysis"
"","https://doi.org/10.21105/joss.00690",2018,NA,"Jasper Ginn","https://orcid.org/0000-0002-5019-2923","first","","https://github.com/ropensci/qualtRics","qualtRics"
"","https://doi.org/10.21105/joss.00035",2016,NA,"Eetu Mäkelä","https://orcid.org/0000-0002-8366-8414","first","Department of Computer Science","https://github.com/jiemakel/las","LAS"
"","https://doi.org/10.21105/joss.00207",2017,NA,"Nicholas Cortale","https://orcid.org/0000-0003-2262-663X","first","","https://github.com/NickC1/skedm","skedm"
"","https://doi.org/10.21105/joss.00207",2017,NA,"D. E. McNamara","https://orcid.org/0000-0001-8752-1586","last","","https://github.com/NickC1/skedm","skedm"
"","https://doi.org/10.21105/joss.00451",2017,NA,"Henry Kironde",NA,"first","","https://github.com/weecology/retriever","Retriever"
"","https://doi.org/10.21105/joss.00451",2017,NA,"Benjamin D. Morris","https://orcid.org/0000-0003-4418-1360","middle","","https://github.com/weecology/retriever","Retriever"
"","https://doi.org/10.21105/joss.00451",2017,NA,"Akash Goel","https://orcid.org/0000-0001-9878-0401","middle","","https://github.com/weecology/retriever","Retriever"
"","https://doi.org/10.21105/joss.00451",2017,NA,"Andrew Zhang","https://orcid.org/0000-0003-1148-7734","middle","","https://github.com/weecology/retriever","Retriever"
"","https://doi.org/10.21105/joss.00451",2017,NA,"Akshay Narasimha","https://orcid.org/0000-0002-3901-2610","middle","","https://github.com/weecology/retriever","Retriever"
"","https://doi.org/10.21105/joss.00451",2017,NA,"Shivam Negi",NA,"middle","","https://github.com/weecology/retriever","Retriever"
"","https://doi.org/10.21105/joss.00451",2017,NA,"David J. Harris","https://orcid.org/0000-0003-3332-9307","middle","","https://github.com/weecology/retriever","Retriever"
"","https://doi.org/10.21105/joss.00451",2017,NA,"Deborah Gertrude Digges","https://orcid.org/0000-0002-7840-5054","middle","","https://github.com/weecology/retriever","Retriever"
"","https://doi.org/10.21105/joss.00451",2017,NA,"K. Anil Kumar",NA,"middle","","https://github.com/weecology/retriever","Retriever"
"","https://doi.org/10.21105/joss.00451",2017,NA,"Amritanshu Jain",NA,"middle","","https://github.com/weecology/retriever","Retriever"
