software_name,github_slug,ror_id,org_name,extraction_methods
SoftCite,howisonlab/softcite-dataset,https://ror.org/00hj54h04,University of Texas at Austin; Texas; USA,by_name
Condor,,https://ror.org/05dxps055,California Institute of Technology,by_name
ProSight Lite,,https://ror.org/000e0be47,Northwestern University; Illinois; USA,by_name
NEST Simulator,nest/nest-simulator,https://ror.org/01sgfhb12,NEST Initiative,by_name
meta,,https://ror.org/0245cg223,University of Freiburg; Baden-Wurttemberg; Germany,by_name
Daligner,,https://ror.org/05b8d3w18,Max Planck Institute of Molecular Cell Biology and Genetics; Dresden; Germany,human_curated
PyPNS ,chlubba/PyPNS,https://ror.org/041kmwe10,Imperial College London; London; United Kingdom,by_name
Appyters,MaayanLab/appyter,https://ror.org/04a9tmd77,Icahn School of Medicine at Mount Sinai; New York; USA,human_curated
Integrative Genomics Viewer,,https://ror.org/05a0ya142,Broad Institute,human_curated
MISO,yarden/MISO,https://ror.org/042nb2s44,Massachusetts Institute of Technology; Massachusetts; USA,human_curated
eXpress,,https://ror.org/01an7q238,University of California; Berkeley; USA,by_name
QIIME,,https://ror.org/02ttsq026,University of Colorado Boulder; Colorado; USA,human_curated
Cumulus,klarman-cell-observatory/cumulus/blob/91336094646217564a4f8e7b31c03c3c6bf2e84b/docs/index.rst,https://ror.org/05a0ya142,Broad Institute,human_curated
GuPPy,LernerLab/GuPPy,https://ror.org/000e0be47,Northwestern University Feinberg School of Medicine; Illinois; USA,by_name
SIPEC,SIPEC-Animal-Data-Analysis/SIPEC,https://ror.org/05a28rw58,ETH Zurich; Zurich; Switzerland,by_name
PanoramaWeb,,https://ror.org/00cvxb145,University of Washington; Seattle; USA,human_curated
PolySTest,,https://ror.org/03yrrjy16,University of Southern Denmark; Denmark,by_name
ADAPT,djpbarry/Adapt,https://ror.org/05b68f622,Biomedical Simulations Resource,by_name
Seq-Gen,,https://ror.org/01nrxwf90,University of Edinburgh; Scotland; United Kingdom,by_name
TreeView,,https://ror.org/01an7q238,University of California; Berkeley; USA,by_name
CGView,,https://ror.org/0160cpw27,University of Alberta; Alberta; Canada,by_name
HilbertVis,,https://ror.org/02catss52,European Bioinformatics Institute,human_curated
METAREP,,https://ror.org/049r1ts75,J. Craig Venter Institute,human_curated
Oases,,https://ror.org/02catss52,European Bioinformatics Institute,human_curated
HTSeq,,https://ror.org/010jaxs89,European Molecular Biology Laboratory,by_name
Glimmer,,https://ror.org/00za53h95,Johns Hopkins University; Maryland; USA,by_name
Proteome Analyst,,https://ror.org/0160cpw27,University of Alberta; Alberta; Canada,by_name
liftOver,,https://ror.org/03s65by71,University of California at Santa Cruz; California; USA,human_curated
BioLit,,https://ror.org/0168r3w48,University of California at San Diego; California; USA,by_name
EvidenceFinder,,https://ror.org/039e1zg46,Europe PubMed Central,by_name
PSIPRED,,https://ror.org/02jx3x895,University College London; London; United Kingdom,human_curated
Codon Usage Analyzer,,https://ror.org/022kthw22,University of Rochester; New York; USA,by_name
Brain Cell Methylation Viewer,,https://ror.org/03xez1567,Salk Institute for Biological Studies,human_curated
StrVCTVRE,andrewSharo/StrVCTVRE,https://ror.org/01an7q238,University of California; Berkeley; USA,by_name
Datanator,karrlab/datanator,https://ror.org/04a9tmd77,Icahn School of Medicine at Mount Sinai; New York; USA,human_curated
Social LEAP,murthylab/sleap,https://ror.org/00hx57361,Princeton University; New Jersey; USA,by_name
GeneCup,,https://ror.org/0011qv509,University of Tennessee Health Science Center; Tennessee; USA,by_name
CNVpytor,abyzovlab/CNVpytor,https://ror.org/03jp40720,Mayo Clinic,human_curated
Snudda,Hjorthmedh/Snudda,https://ror.org/026vcq606,Royal Institute of Technology; Stockholm; Sweden,human_curated
Data independent acquisition proteomics workbench,,https://ror.org/0245cg223,University of Freiburg; Baden-Wurttemberg; Germany,by_name
Ribosome Angle Decomposition tool,,https://ror.org/04t5xt781,Northeastern University; Massachusetts; USA,human_curated
MuLan-Methyl,,https://ror.org/03a1kwz48,University of Tubingen; Tubingen; Germany,by_name
NanoAmpli-Seq,umerijaz/nanopore,https://ror.org/00vtgdb53,University of Glasgow; Glasgow; United Kingdom,by_name
NAT/NCS2 Hound,,https://ror.org/04v4g9h31,University of Thessaly; Thessaly; Greece,by_name
Allen Cell and Structure Segmenter,AllenCell/aics-segmentation,https://ror.org/03cpe7c52,Allen Institute,human_curated
HmtPhenome,,https://ror.org/027ynra39,University of Bari; Bari; Italy,by_name
SBFSEM-tools,neitzlab/sbfsem-tools,https://ror.org/00cvxb145,University of Washington; Seattle; USA,human_curated
RepeatFiller,hillerlab/GenomeAlignmentTools,https://ror.org/05b8d3w18,Max Planck Institute of Molecular Cell Biology and Genetics; Dresden; Germany,human_curated
Simple Assignment of Spots to Surfaces,TMinchington/sass,https://ror.org/027m9bs27,University of Manchester; Manchester; United Kingdom,human_curated
MB-GAN,zhanxw/MB-GAN,https://ror.org/049emcs32,University of Texas at Dallas; Texas; USA,human_curated
Centrifuge Classifier,infphilo/centrifuge,https://ror.org/00za53h95,Center for Computational Biology at  JHU,by_name
Mauve,,https://ror.org/01y2jtd41,University of Wisconsin-Madison; Wisconsin; USA,human_curated
LAGAN,,https://ror.org/00f54p054,Stanford University; Stanford; California,human_curated
O,,https://ror.org/048a87296,Uppsala University; Uppsala; Sweden,by_name
MolProbity,,https://ror.org/00py81415,Duke University; North Carolina; USA,by_name
MicroED tools,,https://ror.org/046rm7j60,University of California at Los Angeles; California; USA,human_curated
FFTW,,https://ror.org/042nb2s44,Massachusetts Institute of Technology; Massachusetts; USA,human_curated
Panda3D,panda3d/panda3d,https://ror.org/05x2bcf33,Carnegie Mellon University; Pennsylvania; USA,by_name
BioSig: An Imaging Bioinformatics System for Phenotypic Analysis,,https://ror.org/02jbv0t02,Lawrence Berkeley National Laboratory,by_name
EnTAP,,https://ror.org/02der9h97,University of Connecticut; Connecticut; USA,by_name
metagear,cran/metagear,https://ror.org/03rtgjq94,University of South Carolina; South Carolina; USA,human_curated
Apache Spark,,https://ror.org/01an7q238,University of California; Berkeley; USA,by_name
Open Science Chain,,https://ror.org/0168r3w48,University of California at San Diego; California; USA,by_name
GazeMetrics,isayasMatter/GazeMetrics,https://ror.org/01keh0577,University of Nevada at Reno; Nevada; USA,human_curated
EDLUT,,https://ror.org/04njjy449,University of Granada; Granada; Spain,by_name
ChIPseeqer,,https://ror.org/03dkvy735,Weill Cornell Medical College; New York; USA,by_name
AmpliconNoise,,https://ror.org/00njsd438,Google Code,by_name
 SNPHunter ,,https://ror.org/03vek6s52,Harvard University; Cambridge; United States,human_curated
BEAST,,https://ror.org/01nrxwf90,University of Edinburgh; Scotland; United Kingdom,by_name
Vienna RNA,,https://ror.org/03prydq77,University of Vienna; Vienna; Austria,by_name
Ir-tweak,,https://ror.org/03r0ha626,University of Utah; Utah; USA,human_curated
GEMINI,arq5x/gemini,https://ror.org/03r0ha626,University of Utah; Utah; USA,human_curated
PombeX,,https://ror.org/03taz7m60,University of Southern California; Los Angeles; USA,human_curated
QuorUM,,https://ror.org/047s2c258,University of Maryland; Maryland; USA,human_curated
MeshView,Neural-Systems-at-UIO/MeshView-for-Brain-Atlases,https://ror.org/01xtthb56,University of Oslo; Oslo; Norway,human_curated
circular statistics,circstat/circstat-matlab,https://ror.org/026nmvv73,Max Planck Institute for Biological Cybernetics; Tubingen; Germany,by_name
EZcalcium,porteralab/EZcalcium,https://ror.org/046rm7j60,David Geffen School of Medicine at UCLA; California; USA,by_name
NeuroAnatomy Toolbox,,https://ror.org/013meh722,University of Cambridge; Cambridge; United Kingdom,human_curated
Braincon Platform Software,,https://ror.org/0245cg223,University of Freiburg; Baden-Wurttemberg; Germany,by_name
Real-Time Experimental Control with Graphical User Interface,rec-gui/rec-gui,https://ror.org/01y2jtd41,University of Wisconsin-Madison; Wisconsin; USA,human_curated
Brian Simulator,,https://ror.org/05a0dhs15,Ecole Normale Superieure; Paris; France,human_curated
FlyBrainLab,FlyBrainLab/FlyBrainLab,https://ror.org/00hj8s172,Columbia University; New York; USA,human_curated
MARS Developer,neuroethology/MARS_Developer,https://ror.org/000e0be47,Northwestern University; Illinois; USA,by_name
Mouse Action Recognition System,neuroethology/MARS,https://ror.org/000e0be47,Northwestern University; Illinois; USA,by_name
Behavior Ensemble and Neural Trajectory Observatory,neuroethology/bentoMAT,https://ror.org/000e0be47,Northwestern University; Illinois; USA,by_name
EMBuilder,NiyunZhou/EMBuilder,https://ror.org/03cve4549,Tsinghua University; Beijing; China,by_name
Neuroscience Information Framework,,https://ror.org/0168r3w48,University of California at San Diego; California; USA,by_name
Janelia Research,,https://ror.org/006w34k90,Howard Hughes Medical Institute,human_curated
ESPript 2.2,,https://ror.org/0019x5d05,Institute of Biology and Chemistry of Proteins; Lyon; France,human_curated
MRIWarp,,https://ror.org/00vgt4p82,THOR Center for Neuroinformatics,by_name
SWEET-DB,,https://ror.org/00rk1k743,glycosciences.de,by_name
Image Registration Toolkit,BioMedIA/MIRTK,https://ror.org/041kmwe10,Imperial College London; London; United Kingdom,by_name
ASTRAL Compendium for Sequence and Structure Analysis,,https://ror.org/01an7q238,University of California; Berkeley; USA,by_name
NetPhos,,https://ror.org/04qtj9h94,Technical University of Denmark; Lyngby; Denmark,by_name
Transeq,,https://ror.org/010jaxs89,European Molecular Biology Laboratory,by_name
NCBI Structure: Cn3D,,https://ror.org/02meqm098,NCBI,by_name
Graphical Overview of Linkage Disequilibrium,,https://ror.org/00jmfr291,University of Michigan; Ann Arbor; USA,by_name
Talairach Daemon,,https://ror.org/02f6dcw23,University of Texas Health Science Center at San Antonio; Texas; USA,human_curated
DaliLite Pairwise comparison of protein structures,,https://ror.org/02catss52,European Bioinformatics Institute,human_curated
Happy,,https://ror.org/01rjnta51,Wellcome Trust Centre for Human Genetics,by_name
CAST,,https://ror.org/04gnjpq42,University of Athens Biophysics and Bioinformatics Laboratory,by_name
Artemis: Genome Browser and Annotation Tool,,https://ror.org/05cy4wa09,Wellcome Trust Sanger Institute; Hinxton; United Kingdom,human_curated
I/OWA,,https://ror.org/036jqmy94,University of Iowa; Iowa; USA,human_curated
GRAPPA: Genome Rearrangements Analysis under Parsimony and other Phylogenetic Algorithms,,https://ror.org/05fs6jp91,University of New Mexico; New Mexico; USA,human_curated
SeWeR - SEquence analysis using WEb Resources,,https://ror.org/05shq4n12,Centre for Cellular and Molecular Biology; Hyderabad; India,by_name
Computerized Anatomical Reconstruction and Editing Toolkit,,https://ror.org/01yc7t268,Washington University School of Medicine in St. Louis; Missouri; USA,by_name
DAMBE,,https://ror.org/03c4mmv16,University of Ottawa; Ontario; Canada,by_name
Sequence Search and Alignment by Hashing Algorithm,,https://ror.org/05cy4wa09,Wellcome Trust Sanger Institute; Hinxton; United Kingdom,human_curated
LINUCS,,https://ror.org/00rk1k743,glycosciences.de,by_name
Lipsia,,https://ror.org/0387jng26,Max Planck Institute for Human Cognitive and Brain Sciences; Leipzig; Germany,by_name
Nonlinear time series analysis in a nutshell,,https://ror.org/04n0g0b29,Pompeu Fabra University; Barcelona; Spain,human_curated
FMRISTAT - A general statistical analysis for fMRI data,,https://ror.org/01pxwe438,McGill University; Montreal; Canada,human_curated
AAL,,https://ror.org/057qpr032,Bordeaux Segalen University; Bordeaux; France,by_name
ARACHNE,,https://ror.org/05a0ya142,Broad Institute,human_curated
 Globin Gene Server ,,https://ror.org/04p491231,Pennsylvania State University,human_curated
PharmGKB,,https://ror.org/00f54p054,Stanford University; Stanford; California,human_curated
YinOYang,,https://ror.org/0189yvq06,CBS Prediction Servers,by_name
BrainSuite,,https://ror.org/02y3cnq68,Biomedical Informatics Research Network,by_name
Sulfinator,,https://ror.org/052c7a780,ExPASy Bioinformatics Resource Portal,by_name
Stanford TMA Software,,https://ror.org/00f54p054,Stanford University; Stanford; California,human_curated
dCAPS Finder,,https://ror.org/021nxhr62,National Science Foundation,human_curated
SNPper,,https://ror.org/02y3ad647,University of Florida; Florida; USA,human_curated
sLORETA,,https://ror.org/02crff812,University of Zurich; Zurich; Switzerland,by_name
HAMMER Suite,,https://ror.org/0130frc33,University of North Carolina at Chapel Hill; North Carolina; USA,human_curated
Hierarchical Attribute Matching Mechanism for Elastic Registration,,https://ror.org/00b30xv10,University of Pennsylvania; Philadelphia; USA,human_curated
Hammer And WML Modules for 3D Slicer,,https://ror.org/0130frc33,University of North Carolina at Chapel Hill; North Carolina; USA,human_curated
HADDOCK,,https://ror.org/04pp8hn57,Utrecht University; Utrecht; Netherlands,by_name
Iterative Signature Algorithm,,https://ror.org/022r5hc56,CRAN,by_name
GeneMerge,,https://ror.org/03vek6s52,Harvard University; Cambridge; United States,human_curated
OligoArray,,https://ror.org/00jmfr291,University of Michigan; Ann Arbor; USA,by_name
3DViewnix,,https://ror.org/00b30xv10,University of Pennsylvania; Philadelphia; USA,human_curated
SWISS-MODEL,,https://ror.org/02s6k3f65,University of Basel; Basel; Switzerland,by_name
LONI Pipeline Processing Environment,,https://ror.org/046rm7j60,University of California at Los Angeles; California; USA,human_curated
WFU PickAtlas,,https://ror.org/05g5fwv52,Wake Forest School of Medicine; North Carolina; USA,by_name
OXBench,,https://ror.org/03h2bxq36,University of Dundee; Scotland; United Kingdom,human_curated
GeneVito,,https://ror.org/04gnjpq42,University of Athens Biophysics and Bioinformatics Laboratory,by_name
Gutentag,,https://ror.org/00njsd438,Google Code,by_name
VolumeRover,,https://ror.org/00hj54h04,University of Texas at Austin; Texas; USA,by_name
amide,,https://ror.org/00f54p054,Stanford University; Stanford; California,human_curated
SpikeNET,,https://ror.org/0168r3w48,University of California at San Diego; California; USA,by_name
KineFold,,https://ror.org/04t0gwh46,Curie Institute; Paris; France,by_name
DBSubLoc - Database of protein Subcellular Localization,,https://ror.org/00zdnkx70,National Tsing Hua University; Hsinchu; Taiwan,by_name
CSA - Catalytic Site Atlas,,https://ror.org/02catss52,European Bioinformatics Institute,human_curated
Parametric Time Warping,,https://ror.org/022r5hc56,CRAN,by_name
ROSO,,https://ror.org/03yf63872,PRABI,by_name
FGDP,,https://ror.org/0567t7073,Fox Chase Cancer Center,by_name
CLENCH,,https://ror.org/02y3cnq68,Stanford Center for Biomedical Informatics Research,by_name
Extended Haplotype Homozygosity,,https://ror.org/00cfam450,Helmholtz Center Munich,human_curated
Cluster,,https://ror.org/01an7q238,University of California; Berkeley; USA,by_name
 Genotype-IBD Sharing Test ,,https://ror.org/02vm5rt34,Vanderbilt University; Tennessee; USA,human_curated
ARB project,,https://ror.org/02kkvpp62,Technical University of Munich; Bavaria; Germany,human_curated
PEDIGRAPH,,https://ror.org/017zqws13,University of Minnesota Twin Cities; Minnesota; USA,by_name
MUSCLE,,https://ror.org/02catss52,European Bioinformatics Institute,human_curated
NeuroSys Data Management System,,https://ror.org/02w0trx84,Montana State University,human_curated
NeuroScholar,,https://ror.org/03taz7m60,University of Southern California; Los Angeles; USA,human_curated
PELICAN,,https://ror.org/00njsd438,Google Sites,by_name
Weka,,https://ror.org/013fsnh78,University of Waikato; Hamilton; New Zealand,human_curated
Ancestrymap,,https://ror.org/03wevmz92,Harvard Medical School; Massachusetts; USA,human_curated
EEGLAB,,https://ror.org/026ejyb70,Swartz Center for Computational Neuroscience,by_name
GeneWise,,https://ror.org/02catss52,European Bioinformatics Institute,human_curated
BestKeeper,,https://ror.org/02kkvpp62,Technical University of Munich; Bavaria; Germany,human_curated
ProLinks Database of Functional Linkages,,https://ror.org/046rm7j60,University of California at Los Angeles; California; USA,human_curated
THEA - Tools for High-throughput Experiments Analysis,,https://ror.org/00tw3jy02,Virtual Biology Lab,by_name
A statistical framework for genomic data fusion,,https://ror.org/00cvxb145,University of Washington; Seattle; USA,human_curated
GlimmerHMM,,https://ror.org/00za53h95,Johns Hopkins University; Maryland; USA,by_name
WEBLOGO,,https://ror.org/01an7q238,University of California; Berkeley; USA,by_name
Picky,,https://ror.org/04rswrd78,Iowa State University; Iowa; USA,human_curated
TMRPres2D,,https://ror.org/04gnjpq42,University of Athens Biophysics and Bioinformatics Laboratory,by_name
DIALIGN,,https://ror.org/02hpadn98,Bielefeld University; North Rhine-Westphalia; Germany,by_name
VISTA Browser,,https://ror.org/02jbv0t02,Lawrence Berkeley National Laboratory,by_name
Karma,InformationIntegrationGroup/Web-Karma,https://ror.org/03taz7m60,University of Southern California; Los Angeles; USA,human_curated
Robetta,,https://ror.org/00cvxb145,University of Washington; Seattle; USA,human_curated
BioRAT,,https://ror.org/02jx3x895,University College London; London; United Kingdom,human_curated
Atrophy Simulation Package,,https://ror.org/00b30xv10,University of Pennsylvania; Philadelphia; USA,human_curated
STAPLE,,https://ror.org/03wevmz92,Harvard Medical School; Massachusetts; USA,human_curated
UCSF Chimera,,https://ror.org/04tfspg74,Resource for Biocomputing Visualization and Informatics,by_name
MAxEntScan,,https://ror.org/042nb2s44,Massachusetts Institute of Technology; Massachusetts; USA,human_curated
ExonScan Web Server,,https://ror.org/042nb2s44,MIT; Cambridge; Massachusetts; United States,by_name
Haploview,,https://ror.org/05a0ya142,Broad Institute,human_curated
LSQMAN,,https://ror.org/048a87296,Uppsala University; Uppsala; Sweden,by_name
TETRA,,https://ror.org/02385fa51,Max Planck Institute for Marine Microbiology; Bremen; Germany,human_curated
RNAhybrid,,https://ror.org/02hpadn98,Bielefeld University; North Rhine-Westphalia; Germany,by_name
Osprey,,https://ror.org/03yjb2x39,University of Calgary; Alberta; Canada,human_curated
Bioconductor,,https://ror.org/007ps6h72,Fred Hutchinson Cancer Center,by_name
COBrA,,https://ror.org/01nrxwf90,University of Edinburgh; Scotland; United Kingdom,by_name
CGH-Explorer,,https://ror.org/01xtthb56,University of Oslo; Oslo; Norway,human_curated
X-Tile,,https://ror.org/03v76x132,Yale University; Connecticut; USA,by_name
GOdist,,https://ror.org/03qxff017,Hebrew University of Jerusalem; Jerusalem; Israel,by_name
Coot,,https://ror.org/00tw3jy02,MRC Laboratory of Molecular Biology,human_curated
GOToolBox Functional Investigation of Gene Datasets,,https://ror.org/03wyzt892,Center for Genomic Regulation; Barcelona; Spain,by_name
CLUSTAG,,https://ror.org/0145fw131,Hong Kong Baptist University; Hong Kong; China,by_name
Marker And Gene Interpolation and Correlation,,https://ror.org/0220mzb33,King's College London; London; United Kingdom,human_curated
FAS ESS web server,,https://ror.org/042nb2s44,MIT; Cambridge; Massachusetts; United States,by_name
