herdav/dia,lucerne university of applied sciences,https://ror.org/00w7whj55
FerBioinformaticsBloomFilterTeam/Bloom-Filter-Implementation,university of zagreb,https://ror.org/00mv6sv71
dvna-dep/dvna-dep,oregon state university,https://ror.org/00ysfqy60
primaryobjects/algorithms,princeton university,https://ror.org/00hx57361
ChemiKyle/shibboleth_and_table_auth,vanderbilt university's,https://ror.org/02vm5rt34
ucsdcirclek/konnection-styles,university of california san diego.,https://ror.org/0168r3w48
buaawj/Research,university of catania,https://ror.org/03a64bh57
vnepveu/czifile,carl zeiss(r),https://ror.org/02bwhc913
odu-rcs/ODU-HPC-samples,old dominion university,https://ror.org/04zjtrb98
chr1sDim/ON-Time-Performance-of-Commercial-Air-Travel,university of edinburgh,https://ror.org/01nrxwf90
ericoporto/DistributedDigitalCalibrationCertificate,national institute of standards and technology,https://ror.org/05xpvk416
smcd253/new-world,university of southern california,https://ror.org/03taz7m60
Nagasaki45/UnsocialVR,queen mary university of london.,https://ror.org/026zzn846
Kallehz/Python,reykjavik university,https://ror.org/05d2kyx68
oi1108915/Drone-Payload,hamad bin khalifa university,https://ror.org/03eyq4y97
ismail-ahmed0149/ismail-ahmed0149.github.io,university of toronto,https://ror.org/03dbr7087
JeremyTsaii/Cluster,google,https://ror.org/00njsd438
alperozer/Course-Data-Analyzer-SE-360-,izmir university of economics,https://ror.org/04hjr4202
janschmid/Sokoban,university of southern denmark,https://ror.org/03yrrjy16
TheVaffel/reflective-sphere,norwegian university of science and technology,https://ror.org/05xg72x27
thomasyangrenqin/Algorithms_Part-I_Princeton,princeton university,https://ror.org/00hx57361
rengel-de/calixir,cambridge university,https://ror.org/013meh722
bibeksigdel33/contractor_job_project,central queensland university,https://ror.org/023q4bk22
acse-moj20/msc-irp,imperial college london.,https://ror.org/041kmwe10
Sparklectro/JavaScript,stanford university,https://ror.org/00f54p054
btreut/GPCP-Eclipse-Plugins,queensland university of technology,https://ror.org/03pnv4752
h4pdx/PSU_CS300_TermProject,portland state university,https://ror.org/00yn2fy02
JChauncyChandler/CS2050,university of missouri,https://ror.org/02ymw8z06
EternalDeiwos/rhodes-hvz,university of chicago,https://ror.org/024mw5h28
FileMeta/ReadAndConvertCovid19Data,johns hopkins university,https://ror.org/00za53h95
F29SO-Team-1/Camaio,heriot watt university,https://ror.org/0059w0420
jukka/sleepy,university of helsinki.,https://ror.org/040af2s02
Githubuser610/FSO-2021,university of helsinki,https://ror.org/040af2s02
germangelv/MULCIA-AA-quizzes,university of seville,https://ror.org/03yxnpp24
nickbabcock/EECS381StyleCheck,university of michigan,https://ror.org/00jmfr291
HarrisonHinkle/ya-like-jas,indiana university,https://ror.org/01kg8sb98
manuelgentile/pxlab,university of mannheim,https://ror.org/031bsb921
Laura-Bullek/Team-Profile-Generator,university of new hampshire's,https://ror.org/01rmh9n78
beneficialmedia/CSCIE3FinalProject,microsoft corporation's,https://ror.org/00d0nc645
alan-turing-institute/ngramsNVI,google,https://ror.org/00njsd438
gdmgent-1819-code/python,university college ghent,https://ror.org/00rs45z86
napoles-uach/thousands_genes,university of toronto,https://ror.org/03dbr7087
doctordutch/myteam,software,https://ror.org/004g36n56
adbuerger/stcs-mimpc,karlsruhe university of applied sciences.,https://ror.org/01c0m1t63
mayankrastogi/cloud-simulation,university of illinois at,https://ror.org/047426m28
macarl08/finance,harvard university.,https://ror.org/03vek6s52
chrisbilliard/python,university of applied sciences,https://ror.org/05e5kd476
dylanpiera/School_Java,hogeschool van amsterdam.,https://ror.org/00y2z2s03
jchandr/studentRecord_Backend_new,binghamton university,https://ror.org/008rmbt77
antoniocruces/expofinder,university of málaga,https://ror.org/036b2ww28
Tavpritesh/awesome-twitter-data,twitter,https://ror.org/04wt43v05
elsonlim/jiitodc.github.io,jaypee institute of information technology noida,https://ror.org/05sttyy11
EEOB-BioData/BCB546X-Fall2017,iowa state university,https://ror.org/04rswrd78
cainsmile/kdd99_feature_extractor,university of bergen.,https://ror.org/03zga2b32
mdscheuerell/OR_CRU,oregon state university's,https://ror.org/00ysfqy60
SandboxPlayground/GoSchool,twitter,https://ror.org/04wt43v05
rks0001/MIS-Frontend,tezpur university,https://ror.org/005x56091
LF2L/GF-Arthur,university of lorraine,https://ror.org/04vfs2w97
swang92711/GitHub_API,northeastern university.,https://ror.org/02ahky613
sgibson91/ssi-fellowship,sustainability institute,https://ror.org/00q3tc787
jeesonjohnson/RailsPodcastWebsite,university of surrey,https://ror.org/00ks66431
ansaridanishali/Engineering-Practical-Experiments,mumbai university,https://ror.org/032hdk172
Nimbotics/ModernRoboticsNim,cambridge university,https://ror.org/013meh722
WisconsinAutonomous/wa_simulator,university of wisconsin - madison.,https://ror.org/01y2jtd41
markyjackson-taulia/seatbelts,stanford university.,https://ror.org/00f54p054
calcomsci/seo-fix-html-page,amazon,https://ror.org/00b9ktm87
itsjustkia/Minsk,university of tehran,https://ror.org/05vf56z40
trustathsh/irondetect-procedures,hochschule hannover,https://ror.org/03m2kj587
20shaked20/Offline_Elevator,ariel university,https://ror.org/03nz8qe97
bjornregnell/simple-javafx-scala-app,oracle,https://ror.org/001gmby50
PaulJuliusMartinez/simpler_enroll,stanford university.,https://ror.org/00f54p054
xinchaosong/lstm-predictive-motion-planner,northeastern university,https://ror.org/02ahky613
thomas-fung/thesisdownmq,macquarie university.,https://ror.org/01sf06y89
chenchuw/EC602-Design-by-Software,boston university.,https://ror.org/05qwgg493
maxwellcui/phys305,university of arizona.,https://ror.org/03m2x1q45
yalcinerbora/meturay,middle east technical university,https://ror.org/014weej12
Gmoog/data512_finalproject,university of washington,https://ror.org/00cvxb145
thekwanlab/website,university of michigan.,https://ror.org/00jmfr291
akshitsoota/SQLInjectionProject,worcester polytechnic institute,https://ror.org/05ejpqr48
apappu9/UIUC-API,university of illinois at urbana-champaign.,https://ror.org/047426m28
xiangz201/BoW_pooling,peking university.,https://ror.org/02v51f717
cu-data-engineering-s15/get_tweets,university of colorado boulder,https://ror.org/02ttsq026
JohnKahn/radioutd-recorder,the university of texas at dallas,https://ror.org/049emcs32
VishnuDuttSharma/gnn_pathplanning,university of pennsylvania,https://ror.org/00b30xv10
KrSatyam04/Voice_Controlled_LED_Light,university of bologna,https://ror.org/01111rn36
zainsra7/Fmeca-Zain,university of glasgow.,https://ror.org/00vtgdb53
nfreear/dictation,microsoft,https://ror.org/001dd4s60
Apinsun/minitwr,university of strasbourg.,https://ror.org/00pg6eq24
samspeake/cosc3570-introdatascience-fa19,marquette university,https://ror.org/04gr4te78
MagnusOstertag/FinalProject,university of stuttgart,https://ror.org/04vnq7t77
vinayby/VerFI,ruhr university bochum,https://ror.org/04tsk2644
SmirnovOleg/haskell-interpreter,saint-peterburg state university*,https://ror.org/023znxa73
kimhochstedler/cornellcolors,cornell university.,https://ror.org/05bnh6r87
LovelyAnQi/LZUACM-S4,lanzhou university,https://ror.org/01mkqqe32
ljch9725/INFO6205_Team_111,northeastern university,https://ror.org/02ahky613
VarunBabbar/Flood-Warning-System-,university of cambridge.,https://ror.org/013meh722
tomadams5/embedded-computer-networks,sheffield hallam university.,https://ror.org/019wt1929
Lukski/The-Tasting-Device,university of technology vienna,https://ror.org/04d836q62
ncfrey/ncfrey,university of pennsylvania.,https://ror.org/00b30xv10
drbenmorgan/MicroPipeline,university of warwick,https://ror.org/01a77tt86
cowlingj/ecommerce-backend,university of manchester,https://ror.org/027m9bs27
evogelsa/astro-image-processing,indiana university,https://ror.org/01kg8sb98
tknle/Java-OOP-2,duke university,https://ror.org/00py81415
vladbragoi/ros_homework_2,university of verona,https://ror.org/039bp8j42
greenpdx/XiangShan,institute of computing technology china,https://ror.org/0090r4d87
