software_name,github_slug,ror_id,org_name,extraction_methods
SoftCite,howisonlab/softcite-dataset,https://ror.org/00hj54h04,University of Texas at Austin,by_name
Condor,"",https://ror.org/05dxps055,California Institute of Technology,by_name
ProSight Lite,"",https://ror.org/000e0be47,Northwestern University,by_name
NEST Simulator,nest/nest-simulator,https://ror.org/01sgfhb12,NEST Initiative,by_name
meta,"",https://ror.org/0245cg223,University of Freiburg,by_name
Daligner,"",https://ror.org/05b8d3w18,Max Planck Institute of Molecular Cell Biology and Genetics,human_curated
PyPNS ,chlubba/PyPNS,https://ror.org/041kmwe10,Imperial College London,by_name
Appyters,MaayanLab/appyter,https://ror.org/04a9tmd77,Icahn School of Medicine at Mount Sinai,human_curated
Integrative Genomics Viewer,"",https://ror.org/05a0ya142,Broad Institute,human_curated
MISO,yarden/MISO,https://ror.org/042nb2s44,Massachusetts Institute of Technology,human_curated
eXpress,"",https://ror.org/01an7q238,University of California,by_name
QIIME,"",https://ror.org/02ttsq026,University of Colorado Boulder,human_curated
Cumulus,"",https://ror.org/05a0ya142,Broad Institute,human_curated
GuPPy,LernerLab/GuPPy,https://ror.org/000e0be47,Northwestern University Feinberg School of Medicine,by_name
SIPEC,SIPEC-Animal-Data-Analysis/SIPEC,https://ror.org/05a28rw58,ETH Zurich,by_name
PanoramaWeb,"",https://ror.org/00cvxb145,University of Washington,human_curated
PolySTest,"",https://ror.org/03yrrjy16,University of Southern Denmark,by_name
Seq-Gen,"",https://ror.org/01nrxwf90,University of Edinburgh,by_name
TreeView,"",https://ror.org/01an7q238,University of California,by_name
CGView,"",https://ror.org/0160cpw27,University of Alberta,by_name
HilbertVis,"",https://ror.org/02catss52,European Bioinformatics Institute,human_curated
METAREP,"",https://ror.org/049r1ts75,J. Craig Venter Institute,human_curated
Oases,"",https://ror.org/02catss52,European Bioinformatics Institute,human_curated
HTSeq,"",https://ror.org/010jaxs89,European Molecular Biology Laboratory,by_name
Glimmer,"",https://ror.org/00za53h95,Johns Hopkins University,by_name
Proteome Analyst,"",https://ror.org/0160cpw27,University of Alberta,by_name
liftOver,"",https://ror.org/03s65by71,University of California at Santa Cruz,human_curated
BioLit,"",https://ror.org/0168r3w48,University of California at San Diego,by_name
EvidenceFinder,"","https://bio.tools/ukpmc, https://bio.tools/europe_pmc",Europe PubMed Central,human_curated
PSIPRED,"",https://ror.org/02jx3x895,University College London,human_curated
Codon Usage Analyzer,"",https://ror.org/022kthw22,University of Rochester,by_name
SAMtools/BCFtools,"","https://github.com/samtools/samtools, https://github.com/samtools/bcftools, https://github.com/samtools/htslib, https://bio.tools/samtools, https://sources.debian.org/src/samtools/",SAMTOOLS,human_curated
Brain Cell Methylation Viewer,"",https://ror.org/03xez1567,Salk Institute for Biological Studies,human_curated
StrVCTVRE,andrewSharo/StrVCTVRE,https://ror.org/01an7q238,University of California,by_name
Datanator,karrlab/datanator,https://ror.org/04a9tmd77,Icahn School of Medicine at Mount Sinai,human_curated
Social LEAP,murthylab/sleap,https://ror.org/00hx57361,Princeton University,by_name
GeneCup,"",https://ror.org/0011qv509,University of Tennessee Health Science Center,by_name
CNVpytor,abyzovlab/CNVpytor,https://ror.org/03jp40720,Mayo Clinic,human_curated
Snudda,Hjorthmedh/Snudda,https://ror.org/026vcq606,Royal Institute of Technology,human_curated
Data independent acquisition proteomics workbench,"",https://ror.org/0245cg223,University of Freiburg,by_name
Ribosome Angle Decomposition tool,"",https://ror.org/04t5xt781,Northeastern University,human_curated
MuLan-Methyl,"",https://ror.org/03a1kwz48,University of Tubingen,by_name
NanoAmpli-Seq,umerijaz/nanopore,https://ror.org/00vtgdb53,University of Glasgow,by_name
NAT/NCS2 Hound,"",https://ror.org/04v4g9h31,University of Thessaly,by_name
Allen Cell and Structure Segmenter,AllenCell/aics-segmentation,https://ror.org/03cpe7c52,Allen Institute,human_curated
HmtPhenome,"",https://ror.org/027ynra39,University of Bari,by_name
SBFSEM-tools,neitzlab/sbfsem-tools,https://ror.org/00cvxb145,University of Washington,human_curated
RepeatFiller,hillerlab/GenomeAlignmentTools,https://ror.org/05b8d3w18,Max Planck Institute of Molecular Cell Biology and Genetics,human_curated
Simple Assignment of Spots to Surfaces,TMinchington/sass,https://ror.org/027m9bs27,University of Manchester,human_curated
MB-GAN,zhanxw/MB-GAN,https://ror.org/049emcs32,University of Texas at Dallas,human_curated
Centrifuge Classifier,infphilo/centrifuge,https://ror.org/00za53h95,Center for Computational Biology at  JHU,by_name
Mauve,"",https://ror.org/01y2jtd41,University of Wisconsin-Madison,human_curated
LAGAN,"",https://ror.org/00f54p054,Stanford University,human_curated
O,"",https://ror.org/048a87296,Uppsala University,by_name
MolProbity,"",https://ror.org/00py81415,Duke University,by_name
MicroED tools,"",https://ror.org/046rm7j60,University of California at Los Angeles,human_curated
FFTW,"",https://ror.org/042nb2s44,Massachusetts Institute of Technology,human_curated
Panda3D,panda3d/panda3d,https://ror.org/05x2bcf33,Carnegie Mellon University,by_name
BioSig: An Imaging Bioinformatics System for Phenotypic Analysis,"",https://ror.org/02jbv0t02,Lawrence Berkeley National Laboratory,by_name
EnTAP,"",https://ror.org/02der9h97,University of Connecticut,by_name
metagear,cran/metagear,https://ror.org/03rtgjq94,University of South Carolina,human_curated
Apache Spark,"",https://ror.org/01an7q238,University of California,by_name
Open Science Chain,"",https://ror.org/0168r3w48,University of California at San Diego,by_name
GazeMetrics,isayasMatter/GazeMetrics,https://ror.org/01keh0577,University of Nevada at Reno,human_curated
EDLUT,"",https://ror.org/04njjy449,University of Granada,by_name
ChIPseeqer,"",https://ror.org/03dkvy735,Weill Cornell Medical College,by_name
 SNPHunter ,"",https://ror.org/03vek6s52,Harvard University,human_curated
BEAST,"",https://ror.org/01nrxwf90,University of Edinburgh,by_name
Vienna RNA,"",https://ror.org/03prydq77,University of Vienna,by_name
Ir-tweak,"",https://ror.org/03r0ha626,University of Utah,human_curated
GEMINI,arq5x/gemini,https://ror.org/03r0ha626,University of Utah,human_curated
PombeX,"",https://ror.org/03taz7m60,University of Southern California,human_curated
QuorUM,"",https://ror.org/047s2c258,University of Maryland,human_curated
MeshView,Neural-Systems-at-UIO/MeshView-for-Brain-Atlases,https://ror.org/01xtthb56,University of Oslo,human_curated
circular statistics,circstat/circstat-matlab,https://ror.org/026nmvv73,Max Planck Institute for Biological Cybernetics,by_name
EZcalcium,porteralab/EZcalcium,https://ror.org/046rm7j60,David Geffen School of Medicine at UCLA,by_name
NeuroAnatomy Toolbox,"",https://ror.org/013meh722,University of Cambridge,human_curated
Braincon Platform Software,"",https://ror.org/0245cg223,University of Freiburg,by_name
Real-Time Experimental Control with Graphical User Interface,rec-gui/rec-gui,https://ror.org/01y2jtd41,University of Wisconsin-Madison,human_curated
Brian Simulator,"",https://ror.org/05a0dhs15,Ecole Normale Superieure,human_curated
FlyBrainLab,FlyBrainLab/FlyBrainLab,https://ror.org/00hj8s172,Columbia University,human_curated
MARS Developer,neuroethology/MARS_Developer,https://ror.org/000e0be47,Northwestern University,by_name
Mouse Action Recognition System,neuroethology/MARS,https://ror.org/000e0be47,Northwestern University,by_name
Behavior Ensemble and Neural Trajectory Observatory,neuroethology/bentoMAT,https://ror.org/000e0be47,Northwestern University,by_name
EMBuilder,NiyunZhou/EMBuilder,https://ror.org/03cve4549,Tsinghua University,by_name
