software_name,github_slug,ror_id,extraction_methods
10XGenomics/single-cell-3prime-paper,10XGenomics/single-cell-3prime-paper,https://ror.org/01sxvbm95,url_matches
10XGenomics/single-cell-3prime-paper,10XGenomics/single-cell-3prime-paper,https://ror.org/01w32vs69,url_matches
3d-pli/fastpli,3d-pli/fastpli,https://ror.org/02nv7yv05,url_matches
3dgeo-heidelberg/helios,3dgeo-heidelberg/helios,https://ror.org/038t36y30,url_matches
4uiiurz1/pytorch-deform-conv-v2,4uiiurz1/pytorch-deform-conv-v2,https://ror.org/050tqnp89,url_matches
4uiiurz1/pytorch-nested-unet,4uiiurz1/pytorch-nested-unet,https://ror.org/050tqnp89,url_matches
aalto-speech/morfessor,aalto-speech/morfessor,https://ror.org/020hwjq30,url_matches
Abdulmajid-Murad/deep_probabilistic_forecast,Abdulmajid-Murad/deep_probabilistic_forecast,https://ror.org/01tvrq624,url_matches
Abdulmajid-Murad/deep_probabilistic_forecast,Abdulmajid-Murad/deep_probabilistic_forecast,https://ror.org/05xg72x27,url_matches
acl-org/acl-anthology,acl-org/acl-anthology,https://ror.org/019sw1443,url_matches
acl-org/reviewer-paper-matching,acl-org/reviewer-paper-matching,https://ror.org/019sw1443,url_matches
adaptive-intelligent-robotics/QDax,adaptive-intelligent-robotics/QDax,https://ror.org/041kmwe10,url_matches
adobe/NLP-Cube,adobe/NLP-Cube,https://ror.org/059tvcg64,url_matches
aehrc/LAAT,aehrc/LAAT,https://ror.org/04ywhbc61,url_matches
AER-RC/LBLRTM,AER-RC/LBLRTM,https://ror.org/04cg70g73,url_matches
afsc-gap-products/coldpool,afsc-gap-products/coldpool,https://ror.org/002shdh75,url_matches
afsc-gap-products/coldpool,afsc-gap-products/coldpool,https://ror.org/00p9by667,url_matches
afsc-gap-products/coldpool,afsc-gap-products/coldpool,https://ror.org/01h7fye62,url_matches
afsc-gap-products/coldpool,afsc-gap-products/coldpool,https://ror.org/01pctw149,url_matches
afsc-gap-products/coldpool,afsc-gap-products/coldpool,https://ror.org/024crf014,url_matches
afsc-gap-products/coldpool,afsc-gap-products/coldpool,https://ror.org/02bypky31,url_matches
afsc-gap-products/coldpool,afsc-gap-products/coldpool,https://ror.org/02jwb0b65,url_matches
afsc-gap-products/coldpool,afsc-gap-products/coldpool,https://ror.org/02v4wmf32,url_matches
afsc-gap-products/coldpool,afsc-gap-products/coldpool,https://ror.org/03cskqs60,url_matches
afsc-gap-products/coldpool,afsc-gap-products/coldpool,https://ror.org/03fy33a80,url_matches
afsc-gap-products/coldpool,afsc-gap-products/coldpool,https://ror.org/04950b532,url_matches
afsc-gap-products/coldpool,afsc-gap-products/coldpool,https://ror.org/04gsgxx86,url_matches
afsc-gap-products/coldpool,afsc-gap-products/coldpool,https://ror.org/05gxje444,url_matches
afsc-gap-products/survey-live-temperature-map,afsc-gap-products/survey-live-temperature-map,https://ror.org/002shdh75,url_matches
afsc-gap-products/survey-live-temperature-map,afsc-gap-products/survey-live-temperature-map,https://ror.org/00p9by667,url_matches
afsc-gap-products/survey-live-temperature-map,afsc-gap-products/survey-live-temperature-map,https://ror.org/01h7fye62,url_matches
afsc-gap-products/survey-live-temperature-map,afsc-gap-products/survey-live-temperature-map,https://ror.org/01pctw149,url_matches
afsc-gap-products/survey-live-temperature-map,afsc-gap-products/survey-live-temperature-map,https://ror.org/024crf014,url_matches
afsc-gap-products/survey-live-temperature-map,afsc-gap-products/survey-live-temperature-map,https://ror.org/02bypky31,url_matches
afsc-gap-products/survey-live-temperature-map,afsc-gap-products/survey-live-temperature-map,https://ror.org/02jwb0b65,url_matches
afsc-gap-products/survey-live-temperature-map,afsc-gap-products/survey-live-temperature-map,https://ror.org/02v4wmf32,url_matches
afsc-gap-products/survey-live-temperature-map,afsc-gap-products/survey-live-temperature-map,https://ror.org/03cskqs60,url_matches
afsc-gap-products/survey-live-temperature-map,afsc-gap-products/survey-live-temperature-map,https://ror.org/03fy33a80,url_matches
afsc-gap-products/survey-live-temperature-map,afsc-gap-products/survey-live-temperature-map,https://ror.org/04950b532,url_matches
afsc-gap-products/survey-live-temperature-map,afsc-gap-products/survey-live-temperature-map,https://ror.org/04gsgxx86,url_matches
afsc-gap-products/survey-live-temperature-map,afsc-gap-products/survey-live-temperature-map,https://ror.org/05gxje444,url_matches
ageron/handson-ml,ageron/handson-ml,https://ror.org/04wt43v05,url_matches
ai2cm/pace,ai2cm/pace,https://ror.org/05w520734,url_matches
aicis/fresco,aicis/fresco,https://ror.org/054z83b16,url_matches
alan-turing-institute/bocpdms,alan-turing-institute/bocpdms,https://ror.org/035dkdb55,url_matches
alan-turing-institute/monitoring-ecosystem-resilience,alan-turing-institute/monitoring-ecosystem-resilience,https://ror.org/035dkdb55,url_matches
alan-turing-institute/rbocpdms,alan-turing-institute/rbocpdms,https://ror.org/035dkdb55,url_matches
alan-turing-institute/SemAIDA,alan-turing-institute/SemAIDA,https://ror.org/035dkdb55,url_matches
alan-turing-institute/solar-panel-detection,alan-turing-institute/solar-panel-detection,https://ror.org/035dkdb55,url_matches
alan-turing-institute/TCPD,alan-turing-institute/TCPD,https://ror.org/035dkdb55,url_matches
alan-turing-institute/TCPDBench,alan-turing-institute/TCPDBench,https://ror.org/035dkdb55,url_matches
aleimba/bac-genomics-scripts,aleimba/bac-genomics-scripts,https://ror.org/04fa4r544,url_matches
alexander-rakhlin/CNN-for-Sentence-Classification-in-Keras,alexander-rakhlin/CNN-for-Sentence-Classification-in-Keras,https://ror.org/050tqnp89,url_matches
allenai/ai2thor-rearrangement,allenai/ai2thor-rearrangement,https://ror.org/05w520734,url_matches
allenai/ai2thor,allenai/ai2thor,https://ror.org/05w520734,url_matches
allenai/allennlp-models,allenai/allennlp-models,https://ror.org/05w520734,url_matches
allenai/allennlp-reading-comprehension,allenai/allennlp-reading-comprehension,https://ror.org/05w520734,url_matches
allenai/allennlp,allenai/allennlp,https://ror.org/05w520734,url_matches
allenai/bi-att-flow,allenai/bi-att-flow,https://ror.org/05w520734,url_matches
allenai/bilm-tf,allenai/bilm-tf,https://ror.org/05w520734,url_matches
allenai/citeomatic,allenai/citeomatic,https://ror.org/05w520734,url_matches
allenai/comet-atomic-2020,allenai/comet-atomic-2020,https://ror.org/05w520734,url_matches
allenai/contrast-sets,allenai/contrast-sets,https://ror.org/05w520734,url_matches
allenai/cord19,allenai/cord19,https://ror.org/05w520734,url_matches
allenai/document-qa,allenai/document-qa,https://ror.org/05w520734,url_matches
allenai/dont-stop-pretraining,allenai/dont-stop-pretraining,https://ror.org/05w520734,url_matches
allenai/flex,allenai/flex,https://ror.org/05w520734,url_matches
allenai/hidden-networks,allenai/hidden-networks,https://ror.org/05w520734,url_matches
allenai/HyBayes,allenai/HyBayes,https://ror.org/05w520734,url_matches
allenai/kb,allenai/kb,https://ror.org/05w520734,url_matches
allenai/longformer,allenai/longformer,https://ror.org/05w520734,url_matches
allenai/medicat,allenai/medicat,https://ror.org/05w520734,url_matches
allenai/mice,allenai/mice,https://ror.org/05w520734,url_matches
allenai/ms2,allenai/ms2,https://ror.org/05w520734,url_matches
allenai/mslr-shared-task,allenai/mslr-shared-task,https://ror.org/05w520734,url_matches
allenai/multicite,allenai/multicite,https://ror.org/05w520734,url_matches
allenai/natural-instructions,allenai/natural-instructions,https://ror.org/05w520734,url_matches
allenai/open-mds,allenai/open-mds,https://ror.org/05w520734,url_matches
allenai/OpenBookQA,allenai/OpenBookQA,https://ror.org/05w520734,url_matches
allenai/PeerRead,allenai/PeerRead,https://ror.org/05w520734,url_matches
allenai/PRIMER,allenai/PRIMER,https://ror.org/05w520734,url_matches
allenai/propara,allenai/propara,https://ror.org/05w520734,url_matches
allenai/pythia,allenai/pythia,https://ror.org/05w520734,url_matches
allenai/scibert,allenai/scibert,https://ror.org/05w520734,url_matches
allenai/scicite,allenai/scicite,https://ror.org/05w520734,url_matches
allenai/scidocs,allenai/scidocs,https://ror.org/05w520734,url_matches
allenai/science-parse,allenai/science-parse,https://ror.org/05w520734,url_matches
allenai/SciREX,allenai/SciREX,https://ror.org/05w520734,url_matches
allenai/scispacy,allenai/scispacy,https://ror.org/05w520734,url_matches
allenai/scitldr,allenai/scitldr,https://ror.org/05w520734,url_matches
allenai/specter,allenai/specter,https://ror.org/05w520734,url_matches
allenai/taggers,allenai/taggers,https://ror.org/05w520734,url_matches
allenai/twentyquestions,allenai/twentyquestions,https://ror.org/05w520734,url_matches
allenai/unifiedqa,allenai/unifiedqa,https://ror.org/05w520734,url_matches
AllenInstitute/AllenSDK,AllenInstitute/AllenSDK,https://ror.org/00dcv1019,url_matches
AllenInstitute/AllenSDK,AllenInstitute/AllenSDK,https://ror.org/03cpe7c52,url_matches
AllenInstitute/cocoframer,AllenInstitute/cocoframer,https://ror.org/00dcv1019,url_matches
AllenInstitute/cocoframer,AllenInstitute/cocoframer,https://ror.org/03cpe7c52,url_matches
AllenInstitute/visual_coding_2p_analysis,AllenInstitute/visual_coding_2p_analysis,https://ror.org/00dcv1019,url_matches
AllenInstitute/visual_coding_2p_analysis,AllenInstitute/visual_coding_2p_analysis,https://ror.org/03cpe7c52,url_matches
altamiracorp/awesome-xai,altamiracorp/awesome-xai,https://ror.org/0129yjg29,url_matches
amd/OpenCL-caffe,amd/OpenCL-caffe,https://ror.org/00xb05e36,url_matches
amd/OpenCL-caffe,amd/OpenCL-caffe,https://ror.org/02yh0k313,url_matches
amd/OpenCL-caffe,amd/OpenCL-caffe,https://ror.org/04kd6c783,url_matches
Amrita-TIFAC-Cyber-Blockchain/Amrita-TIFAC-Cyber-Blockchain,Amrita-TIFAC-Cyber-Blockchain/Amrita-TIFAC-Cyber-Blockchain,https://ror.org/03am10p12,url_matches
anthropics/hh-rlhf,anthropics/hh-rlhf,https://ror.org/056y0v115,url_matches
aomlomics/tourmaline,aomlomics/tourmaline,https://ror.org/042r9xb17,url_matches
aonotas/deep-crf,aonotas/deep-crf,https://ror.org/04wt43v05,url_matches
apple/coremltools,apple/coremltools,https://ror.org/059hsda18,url_matches
apple/ml-cvnets,apple/ml-cvnets,https://ror.org/059hsda18,url_matches
apple/ml-data-parameters,apple/ml-data-parameters,https://ror.org/059hsda18,url_matches
apple/ml-flair,apple/ml-flair,https://ror.org/059hsda18,url_matches
apple/ml-gsn,apple/ml-gsn,https://ror.org/059hsda18,url_matches
apple/ml-mkqa,apple/ml-mkqa,https://ror.org/059hsda18,url_matches
apple/ml-uwac,apple/ml-uwac,https://ror.org/059hsda18,url_matches
apple/swift,apple/swift,https://ror.org/059hsda18,url_matches
apple/turicreate,apple/turicreate,https://ror.org/059hsda18,url_matches
aptnotes/data,aptnotes/data,https://ror.org/04wt43v05,url_matches
arrayfire/arrayfire,arrayfire/arrayfire,https://ror.org/019j5vb98,url_matches
AstraZeneca/chemicalx,AstraZeneca/chemicalx,https://ror.org/00h1xaa75,url_matches
AstraZeneca/chemicalx,AstraZeneca/chemicalx,https://ror.org/026m9xy48,url_matches
AstraZeneca/chemicalx,AstraZeneca/chemicalx,https://ror.org/04wwrrg31,url_matches
AtlasOfLivingAustralia/ALA4R,AtlasOfLivingAustralia/ALA4R,https://ror.org/018n2ja79,url_matches
aws-samples/aws-lex-noisy-spoken-language-understanding,aws-samples/aws-lex-noisy-spoken-language-understanding,https://ror.org/04mv4n011,url_matches
aws/aws-fpga,aws/aws-fpga,https://ror.org/04mv4n011,url_matches
awslabs/adatune,awslabs/adatune,https://ror.org/04mv4n011,url_matches
awslabs/bike-kem,awslabs/bike-kem,https://ror.org/04mv4n011,url_matches
awslabs/dgl-ke,awslabs/dgl-ke,https://ror.org/04mv4n011,url_matches
awslabs/dgl-lifesci,awslabs/dgl-lifesci,https://ror.org/04mv4n011,url_matches
awslabs/fast-differential-privacy,awslabs/fast-differential-privacy,https://ror.org/04mv4n011,url_matches
awslabs/lambda-refarch-mapreduce,awslabs/lambda-refarch-mapreduce,https://ror.org/04mv4n011,url_matches
awslabs/mlm-scoring,awslabs/mlm-scoring,https://ror.org/04mv4n011,url_matches
awslabs/sagemaker-privacy-for-nlp,awslabs/sagemaker-privacy-for-nlp,https://ror.org/04mv4n011,url_matches
awslabs/sockeye,awslabs/sockeye,https://ror.org/04mv4n011,url_matches
awslabs/speech-representations,awslabs/speech-representations,https://ror.org/04mv4n011,url_matches
awslabs/syne-tune,awslabs/syne-tune,https://ror.org/04mv4n011,url_matches
aymericdamien/TensorFlow-Examples,aymericdamien/TensorFlow-Examples,https://ror.org/04wt43v05,url_matches
ayrna/orca,ayrna/orca,https://ror.org/05yc77b46,url_matches
b3dk7/StegExpose,b3dk7/StegExpose,https://ror.org/04wt43v05,url_matches
babylonhealth/fastText_multilingual,babylonhealth/fastText_multilingual,https://ror.org/036q44x34,url_matches
baidu/DDParser,baidu/DDParser,https://ror.org/03vs3wt56,url_matches
baidu/Dialogue,baidu/Dialogue,https://ror.org/03vs3wt56,url_matches
baidu/DuReader,baidu/DuReader,https://ror.org/03vs3wt56,url_matches
baidu/lac,baidu/lac,https://ror.org/03vs3wt56,url_matches
baidu/Senta,baidu/Senta,https://ror.org/03vs3wt56,url_matches
bailer-jones/Gaia-DR2-distances,bailer-jones/Gaia-DR2-distances,https://ror.org/01vhnrs90,url_matches
bcbi-edu/p_eickhoff_isoscore,bcbi-edu/p_eickhoff_isoscore,https://ror.org/0274ane14,url_matches
bcbi-edu/p_eickhoff_isoscore,bcbi-edu/p_eickhoff_isoscore,https://ror.org/04jrbrj58,url_matches
bcbi-edu/p_eickhoff_isoscore,bcbi-edu/p_eickhoff_isoscore,https://ror.org/05gq02987,url_matches
bcgsc/abyss,bcgsc/abyss,https://ror.org/0333j0897,url_matches
bcgsc/arcs,bcgsc/arcs,https://ror.org/0333j0897,url_matches
bcgsc/HLAminer,bcgsc/HLAminer,https://ror.org/0333j0897,url_matches
bcgsc/NanoSim,bcgsc/NanoSim,https://ror.org/0333j0897,url_matches
bgruening/galaxy-rna-workbench,bgruening/galaxy-rna-workbench,https://ror.org/04fa4r544,url_matches
bgruening/galaxytools,bgruening/galaxytools,https://ror.org/04fa4r544,url_matches
bhargavvader/pycobra,bhargavvader/pycobra,https://ror.org/03vfz6856,url_matches
BioinfoUNIBA/REDItools,BioinfoUNIBA/REDItools,https://ror.org/027ynra39,url_matches
bips-hb/neuralnet,bips-hb/neuralnet,https://ror.org/02c22vc57,url_matches
BirgerMoell/tmh,BirgerMoell/tmh,https://ror.org/026vcq606,url_matches
bluegreen-labs/daymetr,bluegreen-labs/daymetr,https://ror.org/035qqss14,url_matches
bluegreen-labs/ecmwfr,bluegreen-labs/ecmwfr,https://ror.org/035qqss14,url_matches
bluegreen-labs/MODISTools,bluegreen-labs/MODISTools,https://ror.org/035qqss14,url_matches
bluegreen-labs/phenocamr,bluegreen-labs/phenocamr,https://ror.org/035qqss14,url_matches
bluegreen-labs/phenor,bluegreen-labs/phenor,https://ror.org/035qqss14,url_matches
bluegreen-labs/snotelr,bluegreen-labs/snotelr,https://ror.org/035qqss14,url_matches
bmaitner/RBIEN,bmaitner/RBIEN,https://ror.org/008f3q107,url_matches
bmatthiesen/deep-EE-opt,bmatthiesen/deep-EE-opt,https://ror.org/04fa4r544,url_matches
bmitra-msft/TREC-Deep-Learning-Quick-Start,bmitra-msft/TREC-Deep-Learning-Quick-Start,https://ror.org/02w7f3w92,url_matches
bmitra-msft/TREC-Deep-Learning-Quick-Start,bmitra-msft/TREC-Deep-Learning-Quick-Start,https://ror.org/0300m5276,url_matches
bmitra-msft/TREC-Deep-Learning-Quick-Start,bmitra-msft/TREC-Deep-Learning-Quick-Start,https://ror.org/05k87vq12,url_matches
Bobholamovic/CDLab,Bobholamovic/CDLab,https://ror.org/03vs3wt56,url_matches
boogie-org/boogie,boogie-org/boogie,https://ror.org/02w7f3w92,url_matches
boogie-org/boogie,boogie-org/boogie,https://ror.org/0300m5276,url_matches
boogie-org/boogie,boogie-org/boogie,https://ror.org/05k87vq12,url_matches
BorgwardtLab/P-WL,BorgwardtLab/P-WL,https://ror.org/04py35477,url_matches
BorgwardtLab/Set_Functions_for_Time_Series,BorgwardtLab/Set_Functions_for_Time_Series,https://ror.org/04py35477,url_matches
boschresearch/MetaBO,boschresearch/MetaBO,https://ror.org/01fe0jt45,url_matches
boschresearch/MetaBO,boschresearch/MetaBO,https://ror.org/031zzq071,url_matches
boschresearch/OASIS,boschresearch/OASIS,https://ror.org/01fe0jt45,url_matches
boschresearch/OASIS,boschresearch/OASIS,https://ror.org/031zzq071,url_matches
boschresearch/one-shot-synthesis,boschresearch/one-shot-synthesis,https://ror.org/01fe0jt45,url_matches
boschresearch/one-shot-synthesis,boschresearch/one-shot-synthesis,https://ror.org/031zzq071,url_matches
brendenlake/omniglot,brendenlake/omniglot,https://ror.org/037tm7f56,url_matches
brendenlake/SCAN,brendenlake/SCAN,https://ror.org/037tm7f56,url_matches
broadinstitute/catch,broadinstitute/catch,https://ror.org/05a0ya142,url_matches
broadinstitute/cromwell,broadinstitute/cromwell,https://ror.org/05a0ya142,url_matches
broadinstitute/deepometry,broadinstitute/deepometry,https://ror.org/05a0ya142,url_matches
broadinstitute/gatk,broadinstitute/gatk,https://ror.org/05a0ya142,url_matches
broadinstitute/gtex-pipeline,broadinstitute/gtex-pipeline,https://ror.org/05a0ya142,url_matches
broadinstitute/ml4h,broadinstitute/ml4h,https://ror.org/05a0ya142,url_matches
broadinstitute/mutect,broadinstitute/mutect,https://ror.org/05a0ya142,url_matches
broadinstitute/picard,broadinstitute/picard,https://ror.org/05a0ya142,url_matches
broadinstitute/pilon,broadinstitute/pilon,https://ror.org/05a0ya142,url_matches
broadinstitute/pyro-cov,broadinstitute/pyro-cov,https://ror.org/05a0ya142,url_matches
broadinstitute/ssGSEA2.0,broadinstitute/ssGSEA2.0,https://ror.org/05a0ya142,url_matches
caelan/pddlstream,caelan/pddlstream,https://ror.org/042nb2s44,url_matches
CanadianInstituteForCybersecurity/CICFlowMeter,CanadianInstituteForCybersecurity/CICFlowMeter,https://ror.org/05nkf0n29,url_matches
cancerit/BRASS,cancerit/BRASS,https://ror.org/05cy4wa09,url_matches
CatherineWong/dancin_seq2seq,CatherineWong/dancin_seq2seq,https://ror.org/042nb2s44,url_matches
CATIA-Systems/FMPy,CATIA-Systems/FMPy,https://ror.org/0152rnz42,url_matches
CATIA-Systems/FMPy,CATIA-Systems/FMPy,https://ror.org/01mw2b749,url_matches
CATIA-Systems/FMPy,CATIA-Systems/FMPy,https://ror.org/02bymqz65,url_matches
CATIA-Systems/FMPy,CATIA-Systems/FMPy,https://ror.org/035v3d332,url_matches
CATIA-Systems/FMPy,CATIA-Systems/FMPy,https://ror.org/038sc5x72,url_matches
CATIA-Systems/FMPy,CATIA-Systems/FMPy,https://ror.org/03akq4247,url_matches
CATIA-Systems/FMPy,CATIA-Systems/FMPy,https://ror.org/03fbqtm75,url_matches
CATIA-Systems/FMPy,CATIA-Systems/FMPy,https://ror.org/05rqavg73,url_matches
CBICA/BrainMaGe,CBICA/BrainMaGe,https://ror.org/041phzg73,url_matches
CBICA/BrainMaGe,CBICA/BrainMaGe,https://ror.org/047939x15,url_matches
cc-hpc-itwm/DeepFakeDetection,cc-hpc-itwm/DeepFakeDetection,https://ror.org/019hjw009,url_matches
cc-hpc-itwm/UpConv,cc-hpc-itwm/UpConv,https://ror.org/019hjw009,url_matches
