repo_name,prediction,
PrismaticDevs/employee-tracker,,
sgoodlett/Fermi.jl,,
EasyEyes/threshold,,
reconstrue/transcriptomics_on_colab,,
zhouchangxin/yolop_rft,,
bjornharrtell/microsoft-authentication-library-for-js,,
yeti01/spice2,,
xeroxzen/xeroxzen,,
heymattbrown/design-resources-for-developers,,
PaulMarinsky/starfleet,starfleet,
chul0721/k-emails,,
uwgraphics/layercake,university of wisconsin-madison,https://ror.org/01y2jtd41
Gardsup/Project,project school,
PlanTL/AbreMED-DB,,
jirvingphd/starskope,,
merb92/amazon-sagemaker-keras-text-classification,amazon,https://ror.org/00b9ktm87
coltekin/germeval2020task1,,
visibleajay/awesome-learning-resources,,
fkzrh/signal-collect-sna,social,
massimo-nocentini/apt-unifi-course,university of florence;,https://ror.org/04jr1s763
templateflow/tpl-NMT31Sym,,
pyakushin/shorelark,,
CunrenLiang/insarzd,jet propulsion laboratory california,
amberchunn/Sprint-Challenge--User-Interface,,
adrn/summerschoolwebsite-dev,galactic dynamics,
RobertGoellinger/RobertGoellinger.github.io,rwth aachen university,https://ror.org/04xfq0f34
escorponox/hygen,,
rachleona/Algorithmic_javascript,digital ocean,
gordi256/befriended,,
janwestphal306/edtrio,,
akshay-devadiga/university-admin-mainteny-task,,
Tanuka-Mondal/Tanuka-Mondal,,
Makogai/Awesome-Japanese,,
MofaqAlthiyabi/COVID19-research-assistant,,
aeparks/RSA-Threads,,
BranislavMateas/Git,,
the-ashu/schoool-website-CI,# school-admin-ci,
Neibce/IPSC-MACRO,,
TishukBogdana/activecore,,
AliffuddinMunawar22/ALIFFUDDIN-MUNAWAR,,
zipper177/pisdr-image,,
LambdaWeb27/Sprint-Challenge--User-Interface,,
jungtaekkim/automl-challenge-2018,pohang university of science and technology,https://ror.org/04xysgw12
Koowah/Deep_neural_networks,,
rctl/kubefront,linköping university.,https://ror.org/05ynxx418
gyyu/cmudebate,carnegie mellon university,https://ror.org/05x2bcf33
hermannpessoa/be-mean-instagram-mongodb-exercises,,
krithikha2001/Best-websites-a-programmer-should-visit,,
francismuk/assignment,,
larsyunker/PythoMS,,
kyaranusa/School-Management-Systems,,
enspyr/blindportal,,
brownerd/gulp-old-n-new,,
xqgex/CrazyFlie,tel-aviv university,https://ror.org/029q31q54
nomads2/new-nomads,,
Ngort/minervago,minerva,
sherwinmoreino/DSS-Seili,nordbiomednet,
nishamathi/coursera-data-science-python,,
vinid/tutorials2021,,
SaifAlmaliki/edgeai-lab-microcontroller-series,,
armando-fandango/Neural-SLAM,,
ren-curry/lamdata_rencurry,,
JohnsonLu3/Gerrymandering-Analysis,stony brook university.,https://ror.org/05qghxh33
morelab/labmanager,,
tyler-martin-12/tcav_on_azure,university of cambridge.,https://ror.org/013meh722
yoannkubera/docker-envs,,
NdubuisiJr/server-rendered-react-typescript,,
OhioTrackStats/TeamScraper,teamscraper,https://ror.org/057721542
mcsky/ngx-smart-modal,,
iorixxx/Thai-news-retrieval,,
josephdaw/workday-planner,,
bburns/Starship,,
Pengwius/wulkanowy,,
tcjill/jgfrontend-nanodegree-arcade-game-master,udacity,
oliviahandoko/SCBI-ForestGEO-Data,smithsonian conservation biology institute,https://ror.org/04hnzva96
MrHenryD/kijiji,,
robinson-1985/ufc_exercises,federal university of ceará.,https://ror.org/03srtnf24
davidstutz/pointnet-auto-encoder,pointnet,
githubschool/github-games-winyuen,,
sheetcoder/pycm,,
xiaoluLucy814/EvadeML,,
ticnew/WebsiteOfSchool,,
massimo-nocentini/ai-exercise,university of florence,https://ror.org/04jr1s763
conganhhcmus/iOS-Comic,ho chi minh university science,
university-of-york/uoy-config-funnelback-courses,university of york's,
lyubageorgieva/OverwhelmedGrocery,,
